Date,Value
1-Feb-52,24.6
1-Mar-52,3.6
1-Apr-52,26.2
1-May-52,0.4
1-Jun-52,0
1-Jul-52,0
1-Aug-52,0
1-Sep-52,0
1-Oct-52,0.1
1-Nov-52,14.2
1-Dec-52,33.1
1-Jan-53,16.3
1-Feb-53,37.4
1-Mar-53,30.5
1-Apr-53,17.2
1-May-53,2.3
1-Jun-53,0
1-Jul-53,0
1-Aug-53,0
1-Sep-53,0
1-Oct-53,1.7
1-Nov-53,29.3
1-Dec-53,27.6
1-Jan-54,13.6
1-Feb-54,29.6
1-Mar-54,43.1
1-Apr-54,24.2
1-May-54,1.4
1-Jun-54,0
1-Jul-54,0
1-Aug-54,0
1-Sep-54,0
1-Oct-54,0.6
1-Nov-54,67.5
1-Dec-54,52
1-Jan-55,20.1
1-Feb-55,2.3
1-Mar-55,23.8
1-Apr-55,7.2
1-May-55,4.2
1-Jun-55,0
1-Jul-55,0
1-Aug-55,0
1-Sep-55,0
1-Oct-55,0.1
1-Nov-55,11.4
1-Dec-55,37.1
1-Jan-56,19.1
1-Feb-56,13.5
1-Mar-56,10.7
1-Apr-56,17.7
1-May-56,0.9
1-Jun-56,0
1-Jul-56,0
1-Aug-56,0
1-Sep-56,0
1-Oct-56,0.5
1-Nov-56,1.3
1-Dec-56,38.7
1-Jan-57,19.8
1-Feb-57,25.1
1-Mar-57,18.4
1-Apr-57,31.9
1-May-57,12.6
1-Jun-57,0
1-Jul-57,0
1-Aug-57,0
1-Sep-57,0
1-Oct-57,3.2
1-Nov-57,37.7
1-Dec-57,9.3
1-Jan-58,23.7
1-Feb-58,1.7
1-Mar-58,9.5
1-Apr-58,1.6
1-May-58,4.4
1-Jun-58,0
1-Jul-58,0
1-Aug-58,0
1-Sep-58,0
1-Oct-58,1.7
1-Nov-58,16.2
1-Dec-58,52.4
1-Jan-59,33.8
1-Feb-59,18.2
1-Mar-59,11
1-Apr-59,10.3
1-May-59,7.4
1-Jun-59,0
1-Jul-59,0
1-Aug-59,0
1-Sep-59,0
1-Oct-59,1.1
1-Nov-59,14.7
1-Dec-59,23.7
1-Jan-60,20.8
1-Feb-60,8.7
1-Mar-60,18.9
1-Apr-60,11.5
1-May-60,1.4
1-Jun-60,0
1-Jul-60,0
1-Aug-60,0
1-Sep-60,0
1-Oct-60,0.8
1-Nov-60,13.4
1-Dec-60,12.1
1-Jan-61,56.8
1-Feb-61,24.3
1-Mar-61,37.9
1-Apr-61,41.6
1-May-61,0.9
1-Jun-61,0
1-Jul-61,0
1-Aug-61,0
1-Sep-61,0
1-Oct-61,0.1
1-Nov-61,32.6
1-Dec-61,18.2
1-Jan-62,29.4
1-Feb-62,11.3
1-Mar-62,4.3
1-Apr-62,37.9
1-May-62,0.3
1-Jun-62,0
1-Jul-62,0
1-Aug-62,0
1-Sep-62,0
1-Oct-62,0.1
1-Nov-62,19
1-Dec-62,19.9
1-Jan-63,7.5
1-Feb-63,27.9
1-Mar-63,3.3
1-Apr-63,22.4
1-May-63,26.3
1-Jun-63,0
1-Jul-63,0
1-Aug-63,0
1-Sep-63,0
1-Oct-63,0.1
1-Nov-63,10
1-Dec-63,14.9
1-Jan-64,9.4
1-Feb-64,9.3
1-Mar-64,4.3
1-Apr-64,1.2
1-May-64,0.2
1-Jun-64,0
1-Jul-64,0
1-Aug-64,0
1-Sep-64,0
1-Oct-64,0.1
1-Nov-64,4.2
1-Dec-64,24.3
1-Jan-65,69.4
1-Feb-65,3.1
1-Mar-65,12.8
1-Apr-65,8.9
1-May-65,3
1-Jun-65,0
1-Jul-65,0
1-Aug-65,0
1-Sep-65,0
1-Oct-65,11.8
1-Nov-65,13.5
1-Dec-65,1.8
